Category,COMMODITY,Unit,Kg,Code,Nairobi,Mombasa,Kisumu,Nakuru,Eldoret,Malindi,Machakos,Nyahururu,Average,Maximum,Minimum
Cereal,Dry Maize,Bag,90,20,2900,2900,3400,2600,2500,3420,3000,2500,2953,3420,2500
Cereal,Green Maize,Ext Bag,115,19,2700,6000,1800,1600,1350,2800,2700,1750,2708,6000,1350
Cereal,Finger Millet,Bag,90,41,5500,6570,7200,4900,7200,5850,,6400,6203,7200,4900
Cereal,Sorghum,Bag,90,42,3800,4050,3200,3100,4500,4500,,4000,3858,4500,3100
Legumes,Wheat,Bag,90,48,,,,3600,2800,5000,,3200,3800,5000,2800
Legumes,Beans Canadian,Bag,90,4,4700,,6400,,,6500,6000,5000,5867,6500,4700
Legumes,Beans Rosecoco,Bag,90,5,5300,5400,6200,4800,6750,6300,5900,4800,5792,6750,4800
Legumes,Beans Mwitemania,Bag,90,7,5100,5800,,3600,6300,6300,5900,5000,5420,6300,3600
Legumes,Mwezi Moja,Bag,90,6,4800,,,4500,,6300,,,5200,6300,4500
Legumes,Beans Dolichos (Njahi),Bag,90,35,5700,6750,,5400,9900,6750,,5800,6900,9900,5400
Legumes,Green Gram,Bag,90,46,5700,5400,7200,6300,10800,8100,8500,5800,7250,10800,5400
Legumes,Cowpeas,Bag,90,45,5200,4500,7300,6300,7650,7200,4700,,6358,7650,4500
Legumes,Fresh Peas,Bag,51,27,1700,1000,2200,2200,1785,,2800,,1777,2200,1000
Legumes,Groundnuts,Bag,110,44,11500,12320,9800,11000,9900,13200,,10800,11287,13200,9800
Roots & Tubers,Red Irish Potatoes,Bag,110,29,4600,3400,5500,4000,2400,,4700,,3980,5500,2400
Roots & Tubers,White Irish Potatoes,Bag,110,30,4800,3800,5500,4000,2400,3300,4800,3500,3967,5500,2400
Roots & Tubers,Cassava Fresh,Bag,99,43,2000,2000,,,,2475,,,2158,2475,2000
Roots & Tubers,Sweet Potatoes,Bag,98,31,3500,3000,2000,3000,2500,3450,5300,,2908,3500,2000
Horticulture,Cabbages,Ext Bag,126,9,1800,3800,1200,800,1200,2750,900,880,1925,3800,800
Horticulture,Cooking Bananas,Med Bunch,22,2,670,650,350,500,1000,900,700,700,678,1000,350
Horticulture,Ripe Bananas,Med Bunch,14,3,740,650,350,350,550,600,800,450,540,740,350
Horticulture,Carrots,Ext Bag,138,13,2300,3000,3000,1500,1000,3450,2000,2070,2375,3450,1000
Horticulture,Tomatoes,Lg Box,64,32,3000,2550,3000,3000,3600,2240,3400,2400,2898,3600,2240
Horticulture,Onions Dry,net,13,22,600,500,1000,650,780,650,2000,650,697,1000,500
Horticulture,Spring Onions,Bag,142,23,2000,1200,1300,900,1000,,,,1280,2000,900
Horticulture,Chillies,Bag,38,11,2700,1900,1200,4000,,3800,,,2720,4000,1200
Horticulture,Cucumber,Bag,50,14,1800,1500,,,,1800,,,1700,1800,1500
Horticulture,Capsicums,Bag,50,12,2600,1500,1300,3000,2250,3750,1600,3000,2400,3750,1300
Horticulture,Brinjals,Bag,44,8,1600,900,1200,2000,,1320,900,,1404,2000,900
Horticulture,Cauliflower,crate,39,10,2600,1170,,,,,,,1885,2600,1170
Horticulture,Lettuce,Bag,51,17,2400,1800,,,,7800,,,4000,7800,1800
Horticulture,Passion Fruits,Bag,57,25,3400,5000,3000,3800,2850,3300,,4560,3558,5000,2850
Horticulture,Oranges,Bag,93,24,2300,2600,2500,2500,4500,,5200,2790,2880,4500,2300
Horticulture,Lemons,Bag,95,16,1600,1000,1000,1400,,1710,,,1342,1710,1000
Horticulture,Mangoes Local,Bag,126,21,2500,1200,2000,2400,2800,2000,,,2150,2800,1200
Horticulture,Mangoes Ngowe,Sm Basket,25,36,1000,2200,1800,,700,1290,,,1398,2200,700
Horticulture,Limes,net,13,18,680,1200,,,,500,,,793,1200,500
Horticulture,Pineapples,Dozen,13,28,720,1080,650,360,780,1560,700,,858,1560,360
Horticulture,Pawpaw,Lg Box,54,26,2200,1000,1200,2500,1620,,1600,,1704,2500,1000
Horticulture,Avocado,Bag,90,1,2400,3000,1200,2200,1400,5500,2600,,2617,5500,1200
Horticulture,Kales,Bag,50,15,1000,1000,1300,600,600,1950,700,750,1075,1950,600
Others,Eggs,Tray,,47,300,320,340,280,300,330,350,300,312,340,280
